forpa,tailo,sampa,ipa,ipa_tone
gi,ki,g-i,k-i,k-i_{0}
gia,kia,g-i-a,k-i-a,k-i_{0}-a_{0}
giah,kiah,g-i-a?,k-i-aʔ,k-i_{0}-aʔ_{0}
giak,kiak,g-i-ak,k-i-ak,k-i_{0}-ak_{0}
giam,kiam,g-i-am,k-i-am,k-i_{0}-am_{0}
giang,kiang,g-i-aN,k-i-aŋ,k-i_{0}-aŋ_{0}
giann,kiann,g-i~-a~,k-i-ã,k-i_{0}-ã_{0}
giap,kiap,g-i-ap,k-i-ap,k-i_{0}-ap_{0}
giau,kiau,g-i-au,k-i-au,k-i_{0}-au_{0}
giauh,kiauh,g-i-au?,k-i-auʔ,k-i_{0}-auʔ_{0}
gien,kian,g-i-En,k-i-en,k-i_{0}-en_{0}
gier,kio,g-i-@,k-i-ə,k-i_{0}-ə_{0}
gierh,kioh,g-i-@?,k-i-əʔ,k-i_{0}-əʔ_{0}
giet,kiat,g-i-Et,k-i-et,k-i_{0}-et_{0}
gih,kih,g-i?,k-iʔ,k-iʔ_{0}
gii,kir,g-1,k-ɨ,k-ɨ_{0}
giin,kirn,g-1n,k-ɨn,k-ɨn_{0}
gik,kik,g-ik,k-ik,k-ik_{0}
gim,kim,g-im,k-im,k-im_{0}
gin,kin,g-in,k-in,k-in_{0}
ging,king,g-iN,k-iŋ,k-iŋ_{0}
ginn,kinn,g-i~,k-ĩ,k-ĩ_{0}
ginnh,kinnh,g-i~?,k-ĩʔ,k-ĩʔ_{0}
giok,kiok,g-i-Ok,k-i-ɔk,k-i_{0}-ɔk_{0}
giong,kiong,g-i-ON,k-i-ɔŋ,k-i_{0}-ɔŋ_{0}
gionn,kionn,g-i~-o~,k-i-ɔ̃,k-i_{0}-ɔ̃_{0}
gip,kip,g-ip,k-ip,k-ip_{0}
git,kit,g-it,k-it,k-it_{0}
giu,kiu,g-i-u,k-i-u,k-i_{0}-u_{0}
giuh,kiuh,g-i-u?,k-i-uʔ,k-i_{0}-uʔ_{0}
giunn,kiunn,g-i~-u~,k-i-ũ,k-i_{0}-ũ_{0}
gng,kng,g-@N,k-ŋ̩,k-ŋ̩_{0}
